"FullName","Extension","Length","LastWriteTime"
"C:\eva-foundry\07-foundation-layer\.gitignore",".gitignore","612","2/28/2026 3:48:08 PM"
"C:\eva-foundry\07-foundation-layer\ACCEPTANCE.md",".md","10826","3/10/2026 10:10:59 AM"
"C:\eva-foundry\07-foundation-layer\ADO-SCAFFOLDING-INTEGRATION.md",".md","16363","3/7/2026 3:12:56 PM"
"C:\eva-foundry\07-foundation-layer\CHANGELOG.md",".md","12615","3/5/2026 10:45:45 AM"
"C:\eva-foundry\07-foundation-layer\CONTROL-PLANE-OWNERSHIP-BOUNDARY.md",".md","10390","3/7/2026 4:18:37 PM"
"C:\eva-foundry\07-foundation-layer\DPDCA-FOLDERS-ASSESSMENT.md",".md","5488","3/7/2026 10:27:07 AM"
"C:\eva-foundry\07-foundation-layer\EXECUTION-PLAN.md",".md","6195","3/7/2026 10:27:07 AM"
"C:\eva-foundry\07-foundation-layer\OPTION-3-ASSESSMENT.md",".md","4575","3/7/2026 10:29:20 AM"
"C:\eva-foundry\07-foundation-layer\PHASE2-REORGANIZATION-COMPLETE.md",".md","8450","3/10/2026 10:23:49 AM"
"C:\eva-foundry\07-foundation-layer\PHASE2-REORGANIZATION-PLAN.md",".md","2578","3/7/2026 10:59:24 AM"
"C:\eva-foundry\07-foundation-layer\PHASE2-REORGANIZATION-STATUS.md",".md","8433","3/10/2026 10:23:49 AM"
"C:\eva-foundry\07-foundation-layer\PLAN.md",".md","14289","3/10/2026 10:10:59 AM"
"C:\eva-foundry\07-foundation-layer\README.md",".md","35431","3/10/2026 10:25:22 AM"
"C:\eva-foundry\07-foundation-layer\REORGANIZATION-PROPOSAL-SESSION38-FINAL.md",".md","15635","3/7/2026 10:41:15 AM"
"C:\eva-foundry\07-foundation-layer\REORGANIZATION-PROPOSAL.md",".md","13193","3/7/2026 10:27:07 AM"
"C:\eva-foundry\07-foundation-layer\REORGANIZATION-SUMMARY.md",".md","8154","3/7/2026 10:27:07 AM"
"C:\eva-foundry\07-foundation-layer\SEED-FROM-PLAN-PATTERN.md",".md","15602","3/10/2026 10:23:49 AM"
"C:\eva-foundry\07-foundation-layer\SESSION-38-DPDCA-TASK1.md",".md","9989","3/7/2026 5:08:54 PM"
"C:\eva-foundry\07-foundation-layer\SESSION-38-REORGANIZATION-COMPLETE.md",".md","10950","3/7/2026 10:42:43 AM"
"C:\eva-foundry\07-foundation-layer\SESSION-38-SCRUM-MASTER-AUDIT.md",".md","14948","3/7/2026 5:08:54 PM"
